INPUT_TABLE
Variable ID
SubsectorLogit_relative-cost-logit

region,supplysector,subsector,logit.type
USA,industrial energy use,biomass,relative-cost-logit
USA,industrial energy use,coal,relative-cost-logit
USA,industrial energy use,electricity,relative-cost-logit
USA,industrial energy use,gas,relative-cost-logit
USA,industrial energy use,hydrogen,relative-cost-logit
USA,industrial energy use,refined liquids,relative-cost-logit
USA,industrial feedstocks,coal,relative-cost-logit
USA,industrial feedstocks,gas,relative-cost-logit
USA,industrial feedstocks,refined liquids,relative-cost-logit
USA,industry,industry,relative-cost-logit
Africa_Eastern,industrial energy use,biomass,relative-cost-logit
Africa_Eastern,industrial energy use,coal,relative-cost-logit
Africa_Eastern,industrial energy use,electricity,relative-cost-logit
Africa_Eastern,industrial energy use,gas,relative-cost-logit
Africa_Eastern,industrial energy use,hydrogen,relative-cost-logit
Africa_Eastern,industrial energy use,refined liquids,relative-cost-logit
Africa_Eastern,industrial feedstocks,coal,relative-cost-logit
Africa_Eastern,industrial feedstocks,gas,relative-cost-logit
Africa_Eastern,industrial feedstocks,refined liquids,relative-cost-logit
Africa_Eastern,industry,industry,relative-cost-logit
Africa_Northern,industrial energy use,biomass,relative-cost-logit
Africa_Northern,industrial energy use,coal,relative-cost-logit
Africa_Northern,industrial energy use,electricity,relative-cost-logit
Africa_Northern,industrial energy use,gas,relative-cost-logit
Africa_Northern,industrial energy use,hydrogen,relative-cost-logit
Africa_Northern,industrial energy use,refined liquids,relative-cost-logit
Africa_Northern,industrial feedstocks,coal,relative-cost-logit
Africa_Northern,industrial feedstocks,gas,relative-cost-logit
Africa_Northern,industrial feedstocks,refined liquids,relative-cost-logit
Africa_Northern,industry,industry,relative-cost-logit
Africa_Southern,industrial energy use,biomass,relative-cost-logit
Africa_Southern,industrial energy use,coal,relative-cost-logit
Africa_Southern,industrial energy use,electricity,relative-cost-logit
Africa_Southern,industrial energy use,gas,relative-cost-logit
Africa_Southern,industrial energy use,hydrogen,relative-cost-logit
Africa_Southern,industrial energy use,refined liquids,relative-cost-logit
Africa_Southern,industrial feedstocks,coal,relative-cost-logit
Africa_Southern,industrial feedstocks,gas,relative-cost-logit
Africa_Southern,industrial feedstocks,refined liquids,relative-cost-logit
Africa_Southern,industry,industry,relative-cost-logit
Africa_Western,industrial energy use,biomass,relative-cost-logit
Africa_Western,industrial energy use,coal,relative-cost-logit
Africa_Western,industrial energy use,electricity,relative-cost-logit
Africa_Western,industrial energy use,gas,relative-cost-logit
Africa_Western,industrial energy use,hydrogen,relative-cost-logit
Africa_Western,industrial energy use,refined liquids,relative-cost-logit
Africa_Western,industrial feedstocks,coal,relative-cost-logit
Africa_Western,industrial feedstocks,gas,relative-cost-logit
Africa_Western,industrial feedstocks,refined liquids,relative-cost-logit
Africa_Western,industry,industry,relative-cost-logit
Australia_NZ,industrial energy use,biomass,relative-cost-logit
Australia_NZ,industrial energy use,coal,relative-cost-logit
Australia_NZ,industrial energy use,electricity,relative-cost-logit
Australia_NZ,industrial energy use,gas,relative-cost-logit
Australia_NZ,industrial energy use,hydrogen,relative-cost-logit
Australia_NZ,industrial energy use,refined liquids,relative-cost-logit
Australia_NZ,industrial feedstocks,coal,relative-cost-logit
Australia_NZ,industrial feedstocks,gas,relative-cost-logit
Australia_NZ,industrial feedstocks,refined liquids,relative-cost-logit
Australia_NZ,industry,industry,relative-cost-logit
Brazil,industrial energy use,biomass,relative-cost-logit
Brazil,industrial energy use,coal,relative-cost-logit
Brazil,industrial energy use,electricity,relative-cost-logit
Brazil,industrial energy use,gas,relative-cost-logit
Brazil,industrial energy use,hydrogen,relative-cost-logit
Brazil,industrial energy use,refined liquids,relative-cost-logit
Brazil,industrial feedstocks,coal,relative-cost-logit
Brazil,industrial feedstocks,gas,relative-cost-logit
Brazil,industrial feedstocks,refined liquids,relative-cost-logit
Brazil,industry,industry,relative-cost-logit
Canada,industrial energy use,biomass,relative-cost-logit
Canada,industrial energy use,coal,relative-cost-logit
Canada,industrial energy use,electricity,relative-cost-logit
Canada,industrial energy use,gas,relative-cost-logit
Canada,industrial energy use,hydrogen,relative-cost-logit
Canada,industrial energy use,refined liquids,relative-cost-logit
Canada,industrial feedstocks,coal,relative-cost-logit
Canada,industrial feedstocks,gas,relative-cost-logit
Canada,industrial feedstocks,refined liquids,relative-cost-logit
Canada,industry,industry,relative-cost-logit
Central America and Caribbean,industrial energy use,biomass,relative-cost-logit
Central America and Caribbean,industrial energy use,coal,relative-cost-logit
Central America and Caribbean,industrial energy use,electricity,relative-cost-logit
Central America and Caribbean,industrial energy use,gas,relative-cost-logit
Central America and Caribbean,industrial energy use,hydrogen,relative-cost-logit
Central America and Caribbean,industrial energy use,refined liquids,relative-cost-logit
Central America and Caribbean,industrial feedstocks,coal,relative-cost-logit
Central America and Caribbean,industrial feedstocks,gas,relative-cost-logit
Central America and Caribbean,industrial feedstocks,refined liquids,relative-cost-logit
Central America and Caribbean,industry,industry,relative-cost-logit
Central Asia,industrial energy use,biomass,relative-cost-logit
Central Asia,industrial energy use,coal,relative-cost-logit
Central Asia,industrial energy use,electricity,relative-cost-logit
Central Asia,industrial energy use,gas,relative-cost-logit
Central Asia,industrial energy use,hydrogen,relative-cost-logit
Central Asia,industrial energy use,refined liquids,relative-cost-logit
Central Asia,industrial feedstocks,coal,relative-cost-logit
Central Asia,industrial feedstocks,gas,relative-cost-logit
Central Asia,industrial feedstocks,refined liquids,relative-cost-logit
Central Asia,industry,industry,relative-cost-logit
China,industrial energy use,biomass,relative-cost-logit
China,industrial energy use,coal,relative-cost-logit
China,industrial energy use,district heat,relative-cost-logit
China,industrial energy use,electricity,relative-cost-logit
China,industrial energy use,gas,relative-cost-logit
China,industrial energy use,hydrogen,relative-cost-logit
China,industrial energy use,refined liquids,relative-cost-logit
China,industrial feedstocks,coal,relative-cost-logit
China,industrial feedstocks,gas,relative-cost-logit
China,industrial feedstocks,refined liquids,relative-cost-logit
China,industry,industry,relative-cost-logit
EU-12,industrial energy use,biomass,relative-cost-logit
EU-12,industrial energy use,coal,relative-cost-logit
EU-12,industrial energy use,district heat,relative-cost-logit
EU-12,industrial energy use,electricity,relative-cost-logit
EU-12,industrial energy use,gas,relative-cost-logit
EU-12,industrial energy use,hydrogen,relative-cost-logit
EU-12,industrial energy use,refined liquids,relative-cost-logit
EU-12,industrial feedstocks,coal,relative-cost-logit
EU-12,industrial feedstocks,gas,relative-cost-logit
EU-12,industrial feedstocks,refined liquids,relative-cost-logit
EU-12,industry,industry,relative-cost-logit
EU-15,industrial energy use,biomass,relative-cost-logit
EU-15,industrial energy use,coal,relative-cost-logit
EU-15,industrial energy use,electricity,relative-cost-logit
EU-15,industrial energy use,gas,relative-cost-logit
EU-15,industrial energy use,hydrogen,relative-cost-logit
EU-15,industrial energy use,refined liquids,relative-cost-logit
EU-15,industrial feedstocks,coal,relative-cost-logit
EU-15,industrial feedstocks,gas,relative-cost-logit
EU-15,industrial feedstocks,refined liquids,relative-cost-logit
EU-15,industry,industry,relative-cost-logit
Europe_Eastern,industrial energy use,biomass,relative-cost-logit
Europe_Eastern,industrial energy use,coal,relative-cost-logit
Europe_Eastern,industrial energy use,district heat,relative-cost-logit
Europe_Eastern,industrial energy use,electricity,relative-cost-logit
Europe_Eastern,industrial energy use,gas,relative-cost-logit
Europe_Eastern,industrial energy use,hydrogen,relative-cost-logit
Europe_Eastern,industrial energy use,refined liquids,relative-cost-logit
Europe_Eastern,industrial feedstocks,coal,relative-cost-logit
Europe_Eastern,industrial feedstocks,gas,relative-cost-logit
Europe_Eastern,industrial feedstocks,refined liquids,relative-cost-logit
Europe_Eastern,industry,industry,relative-cost-logit
Europe_Non_EU,industrial energy use,biomass,relative-cost-logit
Europe_Non_EU,industrial energy use,coal,relative-cost-logit
Europe_Non_EU,industrial energy use,district heat,relative-cost-logit
Europe_Non_EU,industrial energy use,electricity,relative-cost-logit
Europe_Non_EU,industrial energy use,gas,relative-cost-logit
Europe_Non_EU,industrial energy use,hydrogen,relative-cost-logit
Europe_Non_EU,industrial energy use,refined liquids,relative-cost-logit
Europe_Non_EU,industrial feedstocks,coal,relative-cost-logit
Europe_Non_EU,industrial feedstocks,gas,relative-cost-logit
Europe_Non_EU,industrial feedstocks,refined liquids,relative-cost-logit
Europe_Non_EU,industry,industry,relative-cost-logit
European Free Trade Association,industrial energy use,biomass,relative-cost-logit
European Free Trade Association,industrial energy use,coal,relative-cost-logit
