INPUT_TABLE
Variable ID
Supplysector_relative-cost-logit

region,supplysector,logit.type
USA,FoodDemand_Crops,relative-cost-logit
USA,FoodDemand_Meat,relative-cost-logit
USA,NonFoodDemand_Crops,relative-cost-logit
USA,NonFoodDemand_Meat,relative-cost-logit
USA,NonFoodDemand_Forest,relative-cost-logit
USA,Exports_Meat,relative-cost-logit
Africa_Eastern,FoodDemand_Crops,relative-cost-logit
Africa_Eastern,FoodDemand_Meat,relative-cost-logit
Africa_Eastern,NonFoodDemand_Crops,relative-cost-logit
Africa_Eastern,NonFoodDemand_Meat,relative-cost-logit
Africa_Eastern,NonFoodDemand_Forest,relative-cost-logit
Africa_Eastern,Exports_Meat,relative-cost-logit
Africa_Northern,FoodDemand_Crops,relative-cost-logit
Africa_Northern,FoodDemand_Meat,relative-cost-logit
Africa_Northern,NonFoodDemand_Crops,relative-cost-logit
Africa_Northern,NonFoodDemand_Meat,relative-cost-logit
Africa_Northern,NonFoodDemand_Forest,relative-cost-logit
Africa_Northern,Exports_Meat,relative-cost-logit
Africa_Southern,FoodDemand_Crops,relative-cost-logit
Africa_Southern,FoodDemand_Meat,relative-cost-logit
Africa_Southern,NonFoodDemand_Crops,relative-cost-logit
Africa_Southern,NonFoodDemand_Meat,relative-cost-logit
Africa_Southern,NonFoodDemand_Forest,relative-cost-logit
Africa_Southern,Exports_Meat,relative-cost-logit
Africa_Western,FoodDemand_Crops,relative-cost-logit
Africa_Western,FoodDemand_Meat,relative-cost-logit
Africa_Western,NonFoodDemand_Crops,relative-cost-logit
Africa_Western,NonFoodDemand_Meat,relative-cost-logit
Africa_Western,NonFoodDemand_Forest,relative-cost-logit
Africa_Western,Exports_Meat,relative-cost-logit
Australia_NZ,FoodDemand_Crops,relative-cost-logit
Australia_NZ,FoodDemand_Meat,relative-cost-logit
Australia_NZ,NonFoodDemand_Crops,relative-cost-logit
Australia_NZ,NonFoodDemand_Meat,relative-cost-logit
Australia_NZ,NonFoodDemand_Forest,relative-cost-logit
Australia_NZ,Exports_Meat,relative-cost-logit
Brazil,FoodDemand_Crops,relative-cost-logit
Brazil,FoodDemand_Meat,relative-cost-logit
Brazil,NonFoodDemand_Crops,relative-cost-logit
Brazil,NonFoodDemand_Meat,relative-cost-logit
Brazil,NonFoodDemand_Forest,relative-cost-logit
Brazil,Exports_Meat,relative-cost-logit
Canada,FoodDemand_Crops,relative-cost-logit
Canada,FoodDemand_Meat,relative-cost-logit
Canada,NonFoodDemand_Crops,relative-cost-logit
Canada,NonFoodDemand_Meat,relative-cost-logit
Canada,NonFoodDemand_Forest,relative-cost-logit
Canada,Exports_Meat,relative-cost-logit
Central America and Caribbean,FoodDemand_Crops,relative-cost-logit
Central America and Caribbean,FoodDemand_Meat,relative-cost-logit
